<org.apache.pdfbox.multipdf.Overlay: java.util.List createContentStreamList(org.apache.pdfbox.cos.COSBase)>/org.apache.pdfbox.multipdf.Overlay.createContentStreamList/0	<org.apache.pdfbox.multipdf.Overlay: java.util.List createContentStreamList(org.apache.pdfbox.cos.COSBase)>/item#_325
<org.apache.pdfbox.multipdf.Overlay: java.util.List createContentStreamList(org.apache.pdfbox.cos.COSBase)>/org.apache.pdfbox.multipdf.Overlay.createContentStreamList/1	<org.apache.pdfbox.multipdf.Overlay: java.util.List createContentStreamList(org.apache.pdfbox.cos.COSBase)>/$r9
<org.apache.pdfbox.pdmodel.PDPageTree: org.apache.pdfbox.cos.COSDictionary get(int,org.apache.pdfbox.cos.COSDictionary,int)>/org.apache.pdfbox.pdmodel.PDPageTree.get/0	<org.apache.pdfbox.pdmodel.PDPageTree: org.apache.pdfbox.cos.COSDictionary get(int,org.apache.pdfbox.cos.COSDictionary,int)>/kid#_282
<org.apache.pdfbox.pdmodel.PDPageTree: org.apache.pdfbox.cos.COSDictionary get(int,org.apache.pdfbox.cos.COSDictionary,int)>/org.apache.pdfbox.pdmodel.PDPageTree.get/1	<org.apache.pdfbox.pdmodel.PDPageTree: org.apache.pdfbox.cos.COSDictionary get(int,org.apache.pdfbox.cos.COSDictionary,int)>/kid#_282
<org.apache.pdfbox.pdmodel.PDPageTree: boolean findPage(org.apache.pdfbox.pdmodel.PDPageTree$SearchContext,org.apache.pdfbox.cos.COSDictionary)>/org.apache.pdfbox.pdmodel.PDPageTree.findPage/0	<org.apache.pdfbox.pdmodel.PDPageTree: boolean findPage(org.apache.pdfbox.pdmodel.PDPageTree$SearchContext,org.apache.pdfbox.cos.COSDictionary)>/kid#_346
<java.awt.Container: void reparentTraverse(java.awt.peer.ContainerPeer,java.awt.Container)>/java.awt.Container.reparentTraverse/0	<java.awt.Container: void reparentTraverse(java.awt.peer.ContainerPeer,java.awt.Container)>/$r1
<org.apache.pdfbox.pdfparser.COSParser: int checkPagesDictionary(org.apache.pdfbox.cos.COSDictionary)>/org.apache.pdfbox.pdfparser.COSParser.checkPagesDictionary/0	<org.apache.pdfbox.pdfparser.COSParser: int checkPagesDictionary(org.apache.pdfbox.cos.COSDictionary)>/kidDictionary#_2341
<org.apache.pdfbox.multipdf.PDFMergerUtility: void updatePageReferences(org.apache.pdfbox.multipdf.PDFCloneUtility,org.apache.pdfbox.cos.COSArray,java.util.Map)>/org.apache.pdfbox.multipdf.PDFMergerUtility.updatePageReferences/0	<org.apache.pdfbox.multipdf.PDFMergerUtility: void updatePageReferences(org.apache.pdfbox.multipdf.PDFCloneUtility,org.apache.pdfbox.cos.COSArray,java.util.Map)>/$r1
<org.apache.pdfbox.pdmodel.PDPageTree$PageIterator: void enqueueKids(org.apache.pdfbox.cos.COSDictionary)>/org.apache.pdfbox.pdmodel.PDPageTree$PageIterator.enqueueKids/0	<org.apache.pdfbox.pdmodel.PDPageTree$PageIterator: void enqueueKids(org.apache.pdfbox.cos.COSDictionary)>/kid#_176
<java.awt.Window: void updateChildFocusableWindowState(java.awt.Window)>/java.awt.Window.updateChildFocusableWindowState/0	<java.awt.Window: void updateChildFocusableWindowState(java.awt.Window)>/l2#_1076
